prefix;runID;tick;strategistID;p1;p2;p3;actionExecuted;actualProfit;predictedProfit;level;planningHorizon
null;1;196.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;202.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;207.0;0;0.25;0.31;0.44;RT3;0.0;0.0;2;50.0;
null;1;208.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;214.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;220.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;226.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;232.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;238.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;241.0;0;0.25;0.31;0.44;RT3;0.0;0.0;2;50.0;
null;1;244.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;250.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;256.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;262.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;268.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;274.0;1;0.07;0.4;0.53;BT3;0.0;0.0;2;50.0;
null;1;276.0;0;0.25;0.31;0.44;RT2;0.0;0.0;2;50.0;
null;1;280.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;286.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;292.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;298.0;1;0.07;0.4;0.53;BT3;0.0;0.0;2;50.0;
null;1;304.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;310.0;0;0.25;0.31;0.44;RT3;0.0;0.0;2;50.0;
null;1;310.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;316.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;322.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;328.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;334.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;340.0;1;0.07;0.4;0.53;BT3;0.0;0.0;2;50.0;
null;1;344.0;0;0.25;0.31;0.44;RT3;0.0;0.0;2;50.0;
null;1;346.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;352.0;1;0.07;0.4;0.53;BT1;0.0;0.0;2;50.0;
null;1;358.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
null;1;364.0;1;0.07;0.4;0.53;BT2;0.0;0.0;2;50.0;
